control_number,specific_name,generic_name,category,qty,unit,origin,ship_date
2014412103,,BUSHBUCK,TRO,1,NO,ZA,1/21/14
2014412103,GREATER,KUDU,TRO,1,NO,ZA,1/21/14
2014412103,COMMON,WARTHOG,TRO,2,NO,ZA,1/21/14
2014412103,,WATERBUCK,TRO,1,NO,ZA,1/21/14
2014412103,,NYALA,TRO,2,NO,ZA,1/21/14
2014412103,SOUTHERN,REEDBUCK,TRO,1,NO,ZA,1/21/14
2014412519,PEARL,MUSSEL,SPR,1256,NO,CN,2/1/14
2014412681,GREAT PEARL,OYSTER,JWL,382,NO,PH,1/31/14
2014412681,ABALONE,SHELL,JWL,299,NO,NZ,1/31/14
2014412681,,SHELL,JWL,60,NO,US,1/31/14
2014412681,,OYSTER,JWL,85,NO,PF,1/31/14
2014412681,,SEA FAN,JWL,8,NO,CN,1/31/14
2014412681,,OYSTER,JWL,16,NO,PH,1/31/14
2014412683,AMERICAN,MINK,SKI,4300,NO,NL,1/31/14
2014412691,BLACK FISHING,FROGFISH,SPE,1,NO,MH,1/29/14
2014413460,GIANT,ELAND,TRO,1,NO,CM,1/30/14
2014413460,,KOB,TRO,1,NO,CM,1/30/14
2014413482,,BLESBOK,TRO,2,NO,ZA,1/17/14
2014413482,BLUE,WILDEBEEST,TRO,1,NO,ZA,1/17/14
2014413482,,GEMSBOK,TRO,2,NO,ZA,1/17/14
2014413482,COMMON,WARTHOG,TRO,1,NO,ZA,1/17/14
2014413482,,WATERBUCK,TRO,2,NO,ZA,1/17/14
2014413487,,COWRIE,SPR,1,NO,ZA,1/17/14
2014413488,WHITE-TAILED,DEER,GAR,1728,NO,US,2/3/14
2014414013,AMERICAN,MINK,SKI,2968,NO,ES,2/4/14
2014414045,AMERICAN,MINK,SKI,2442,NO,ES,2/4/14
2014414048,AMERICAN,MINK,SKI,15648,NO,SE,2/4/14
2014414132,EURASIAN,BUZZARD,SPE,1,NO,IT,1/31/14
2014414193,,BLESBOK,TRO,1,NO,ZA,1/24/14
2014414193,GREATER,KUDU,TRO,2,NO,ZA,1/24/14
2014414193,,GEMSBOK,TRO,2,NO,ZA,1/24/14
2014414193,,SPRINGBOK,TRO,2,NO,ZA,1/24/14
2014414193,BLACK,WILDEBEEST,TRO,1,NO,ZA,1/24/14
2014414193,,IMPALA,TRO,1,NO,ZA,1/24/14
2014414193,BURCHELL'S,ZEBRA,TRO,1,NO,ZA,1/24/14
2014414198,BURCHELL'S,ZEBRA,SKP,2,NO,ZA,1/24/14
2014414198,,GEMSBOK,TAI,2,NO,ZA,1/24/14
2014414965,,ELK,MED,40,KG,CA,1/27/14
2014415222,COMMON,PHEASANT,FEA,1008,NO,CN,2/6/14
2014415222,SOUTHERN AFRICAN,OSTRICH,FEA,576,NO,CN,2/6/14
2014415237,GREAT PEARL,OYSTER,JWL,503,NO,PH,2/5/14
2014415237,ABALONE,SHELL,JWL,292,NO,NZ,2/5/14
